date,open,high,low,close,volume
2020-04-24 16:00:00,725.22,727.57,723.8,725.04,573985.0
2020-04-24 15:45:00,725.6745,730.73,724.5801,725.1801,648799.0
2020-04-24 15:30:00,723.54,725.8116,722.17,725.8116,287570.0
2020-04-24 15:15:00,722.155,727.0,720.61,723.48,438345.0
2020-04-24 15:00:00,725.98,727.57,721.25,722.11,420652.0
2020-04-24 14:45:00,715.7,726.744,715.11,726.1385,687180.0
2020-04-24 14:30:00,714.27,716.78,713.635,715.56,213730.0
2020-04-24 14:15:00,714.685,715.55,712.8003,714.5,164707.0
2020-04-24 14:00:00,713.91,715.5,713.2,714.72,200891.0
2020-04-24 13:45:00,712.49,714.99,709.7001,713.76,246305.0
2020-04-24 13:30:00,713.3601,714.1399,710.62,712.49,188502.0
2020-04-24 13:15:00,716.16,717.0,712.42,713.8,260123.0
2020-04-24 13:00:00,715.1,716.45,712.74,716.3,267795.0
2020-04-24 12:45:00,712.745,715.17,710.17,714.89,308153.0
2020-04-24 12:30:00,710.2,714.99,709.8237,712.8,371620.0
2020-04-24 12:15:00,708.7562,710.78,707.0901,710.17,221723.0
2020-04-24 12:00:00,707.42,711.2,706.33,708.74,266623.0
2020-04-24 11:45:00,708.13,709.59,705.2301,707.45,313291.0
2020-04-24 11:30:00,708.48,712.6,707.8,708.1944,392239.0
2020-04-24 11:15:00,710.67,710.8269,705.52,708.2905,471989.0
2020-04-24 11:00:00,717.93,718.5,709.3,710.85,467069.0
2020-04-24 10:45:00,711.5781,719.73,710.21,717.7978,619491.0
2020-04-24 10:30:00,707.02,715.22,706.42,711.93,728898.0
2020-04-24 10:15:00,701.3975,708.2999,700.28,706.8201,519315.0
2020-04-24 10:00:00,706.26,708.6849,698.18,701.54,657106.0
2020-04-24 09:45:00,710.81,715.8599,704.01,706.5726,964153.0
2020-04-23 16:00:00,704.54,708.15,703.13,705.53,595698.0
2020-04-23 15:45:00,712.0723,712.0723,703.3,704.53,547499.0
2020-04-23 15:30:00,713.135,713.3399,709.0,711.761,313437.0
2020-04-23 15:15:00,717.7158,718.35,711.5,713.01,223138.0
2020-04-23 15:00:00,715.6,719.0879,714.5,717.78,241150.0
2020-04-23 14:45:00,716.2999,718.0,713.75,715.5,262854.0
2020-04-23 14:30:00,713.0512,717.45,712.401,716.21,312278.0
2020-04-23 14:15:00,715.0,715.74,708.48,712.8264,332958.0
2020-04-23 14:00:00,719.01,719.61,710.6195,715.19,495153.0
2020-04-23 13:45:00,720.6054,723.5725,718.38,719.22,231075.0
2020-04-23 13:30:00,723.49,723.5715,716.5101,720.7986,282276.0
2020-04-23 13:15:00,719.7801,724.38,719.2727,723.24,290728.0
2020-04-23 13:00:00,721.9,723.7246,714.15,719.78,733357.0
2020-04-23 12:45:00,725.0283,728.5,721.27,721.87,255568.0
2020-04-23 12:30:00,725.92,727.7586,723.6485,725.33,206542.0
2020-04-23 12:15:00,724.99,726.6339,722.45,726.0273,185363.0
2020-04-23 12:00:00,726.11,726.54,722.75,724.72,270577.0
2020-04-23 11:45:00,729.58,729.58,724.15,725.94,273552.0
2020-04-23 11:30:00,726.5,730.4399,726.25,729.2599,357651.0
2020-04-23 11:15:00,726.822,727.1999,721.2029,726.3096,404156.0
2020-04-23 11:00:00,729.4,730.1915,724.44,727.12,432358.0
2020-04-23 10:45:00,728.0,734.0,727.71,729.38,559467.0
2020-04-23 10:30:00,724.7657,730.47,722.32,727.81,514648.0
2020-04-23 10:15:00,719.3,728.82,719.0198,724.5701,739225.0
